SIN ,Foundry Part Number ,Product Description,GSA Rate
132-12 ,GOLD-01 ,"TechNet GOLD Support, WORKGROUP - FWS* ",$327.57 
132-12 ,BRONZE-EIF2402CF ,"TechNet BRONZE Support, EDGEIRON 2402CF ",$124.39 
132-12 ,SILVER-EIF2402CF ,"TechNet SILVER Support, EDGEIRON 2402CF ",$165.85 
132-12 ,GOLD-EIF2402CF ,"TechNet GOLD Support, EDGEIRON 2402CF ",$248.78 
132-12 ,BRONZE-EIF4802CF ,"TechNet BRONZE Support, EDGEIRON 4802CF ",$207.32 
132-12 ,SILVER-EIF4802CF ,"TechNet SILVER Support, EDGEIRON 4802CF ",$410.50 
132-12 ,GOLD-EIF4802CF ,"TechNet GOLD Support, EDGEIRON 4802CF ",$493.42 
132-12 ,BRONZE-EIF24G ,"TechNet BRONZE Support, EDGEIRON 24G ",$207.32 
132-12 ,SILVER-EIF24G ,"TechNet SILVER Support, EDGEIRON 24G ",$410.50 
132-12 ,GOLD-EIF24G ,"TechNet GOLD Support, EDGEIRON 24G ",$493.42 
132-12 ,BRONZE-FES12GCF ,"TechNet BRONZE Support, FASTIRON EDGE 12GCF ",$310.99 
132-12 ,SILVER-FES12GCF ,"TechNet SILVER Support, FASTIRON EDGE 12GCF ",$617.82 
132-12 ,GOLD-FES12GCF ,"TechNet GOLD Support, FASTIRON EDGE 12GCF ","$1,073.93 "
132-12 ,BRONZE-FES2402POE ,"TechNet BRONZE Support, FastIron Edge 2402 POE ",$186.59 
132-12 ,SILVER-FES2402POE ,"TechNet SILVER Support, FastIron Edge 2402 POE ",$298.54 
132-12 ,GOLD-FES2402POE ,"TechNet GOLD Support, FastIron Edge 2402 POE ",$373.18 
132-12 ,BRONZE-FES4802POE ,"TechNET BRONZE Support, FastIron Edge 4802 POE SYSTEMS ",$310.99 
132-12 ,SILVER-FES4802POE ,"TechNET SILVER Support, FastIron Edge 4802 P OE SYSTEMS ",$497.57 
132-12 ,GOLD-FES4802POE ,"TechNET GOLD Support, FastIron Edge 4802 POE SYSTEMS ",$621.97 
132-12 ,BRONZE-FES2 ,"TechNET BRONZE Support, FastIron Edge 2402 ",$120.25 
132-12 ,SILVER-FES2 ,"TechNET SILVER Support, FastIron Edge 2402 ",$244.64 
132-12 ,GOLD-FES2 ,"TechNet GOLD Support, FastIron Edge 2402 ",$327.57 
132-12 ,BRONZE-FES4 ,"TechNET BRONZE Support, FastIron Edge 4802 ",$228.05 
132-12 ,SILVER-FES4 ,"TechNET SILVER Support, FastIron Edge 4802 ",$493.42 
132-12 ,GOLD-FES4 ,"TechNet GOLD Support, FastIron Edge 4802 ",$576.36 
132-12 ,BRONZE-FES9 ,"TechNET BRONZE Support, FastIron Edge 9604 ",$393.91 
132-12 ,SILVER-FES9 ,"TechNET SILVER Support, FastIron Edge 9604 ",$945.40 
132-12 ,GOLD-FES9 ,"TechNet GOLD Support, FastIron Edge 9604 ","$1,024.17 "
132-12 ,BRONZE-02 ,TechNet BRONZE Support FastIron  4802 ,$228.05 
132-12 ,SILVER-02 ,TechNet SILVER Support FastIron 4802 ,$493.42 
132-12 ,GOLD-02 ,TechNet GOLD Support FastIron 4802 ,$576.36 
132-12 ,BRONZE-03 ,"TechNet BRONZE Support, NetIron 4802, T/8 Routers ",$310.99 
132-12 ,SILVER-03 ,"TechNet SILVER Support, NetIron 4802, T/8 Routers ",$617.82 
132-12 ,GOLD-03 ,"TechNet GOLD Support, NetIron 4802, T/8 Routers ","$1,073.93 "
132-12 ,BRONZE-03-EI ,"TechNet BRONZE Support, EdgeIron Family ",$207.32 
132-12 ,SILVER-03-EI ,"TechNet SILVER Support, EdgeIron Family ",$410.50 
132-12 ,GOLD-03-EI ,"TechNet GOLD Support, EdgeIron Family ",$493.42 
132-12 ,BRONZE-SI-8 ,"TechNet BRONZE Support for 8 -port ServerIron XL, ServerIron XL/G, & QSI ",$601.24 
132-12 ,BRONZE-SI-16 ,TechNet BRONZE Support 16-port ServerIron XL & QSI ,$825.14 
132-12 ,BRONZE-SI-24 ,TechNet BRONZE Support 24-port ServerIron XL & QSI ,"$1,078.09 "
132-12 ,SILVER-SI-8 ,"TechNet SILVER Support for 8-port ServerIron XL, ServerIron XL/G, & QSI ","$1,202.48 "
132-12 ,SILVER-SI-16 ,TechNet SILVER Support 16-port ServerIron XL & QSI ,"$1,654.45 "
132-12 ,SILVER-SI-24 ,TechNet SILVER Support 24-port ServerIron XL & QSI ,"$2,152.02 "
132-12 ,GOLD-SI-8 ,"TechNet GOLD Support for the 8 -port ServerIron XL, ServerIron XL/G, & QSI ","$2,073.24 "
132-12 ,GOLD-SI-16 ,TechNet GOLD Support for the 16-port ServerIron XL & QSI ,"$2,902.54 "
132-12 ,GOLD-SI-24 ,TechNet GOLD Support for the 24-port ServerIron XL & QSI ,"$3,731.84 "
132-12 ,BRONZE-SI-100 ,"TechNet BRONZE Support, ServerIron 100 Series ","$1,658.60 "
132-12 ,SILVER-SI-100 ,"TechNet SILVER Support, ServerIron 100 Series ","$2,487.89 "
132-12 ,GOLD-SI-100 ,"TechNet GOLD Support, ServerIron 100 Series ","$4,146.49 "
132-12 ,BRONZE-FI-2 ,"TechNet BRONZE Support, FastIron II ",$534.89 
132-12 ,BRONZE-FI-2P ,"TechNet BRONZE Support, FastIron II Plus ",$534.89 
132-12 ,BRONZE-FI-3 ,"TechNet BRONZE Support, FastIron III ","$1,737.37 "
132-12 ,SILVER-FI-2 ,"TechNet SILVER Support, FastIron II ","$1,156.86 "
132-12 ,SILVER-FI-2P ,"TechNet SILVER Support, FastIron II Plus ","$2,317.88 "
132-12 ,SILVER-FI-3 ,"TechNet SILVER Support, FastIron III ","$3,478.90 "
132-12 ,GOLD-FI-2 ,"TechNet GOLD Support, FastIron II ","$1,861.77 "
132-12 ,GOLD-FI-2P ,"TechNet GOLD Support, FastIron II Plus ","$3,727.69 "
132-12 ,GOLD-FI-3 ,"TechNet GOLD Support, FastIron III ","$5,805.08 "
132-12 ,BRONZE-F4 ,"TechNet BRONZE Support, FastIron 400 ",$534.89 
132-12 ,BRONZE-F8 ,"TechNet BRONZE Support, FastIron 800 ",$534.89 
132-12 ,BRONZE-F15 ,"TechNet BRONZE Support, FastIron 1500 ","$1,737.37 "
132-12 ,SILVER-F4 ,"TechNet SILVER Support, FastIron 400 ","$1,156.86 "
132-12 ,SILVER-F8 ,"TechNet SILVER Support, FastIron 800 ","$2,317.88 "
132-12 ,SILVER-F15 ,"TechNet SILVER Support, FastIron 1500 ","$3,478.90 "
132-12 ,GOLD-F4 ,"TechNet GOLD Support, FastIron 400 ","$1,861.77 "
132-12 ,GOLD-F8 ,"TechNet GOLD Support, FastIron 800 ","$3,727.69 "
132-12 ,GOLD-F15 ,"TechNet GOLD Support, FastIron 1500 ","$5,805.08 "
132-12 ,BRONZE-BIMG8-AC ,"TechNET Bronze Support - BIMG8 Chassis Bundle, AC ","$5,469.21 "
132-12 ,SILVER-BIMG8-AC ,"TechNET Silver Support - BIMG8 Chassis Bundle, AC ","$10,030.36 "
132-12 ,GOLD-BIMG8-AC ,"TechNET Gold Support - BIMG8 Chassis Bundle, AC ","$22,801.56 "
132-12 ,BRONZE-BIMG8-DC ,"TechNET Bronze Support - BIMG8 Chassis Bundle, DC ","$4,478.21 "
132-12 ,SILVER-BIMG8-DC ,"TechNET Silver Support - BIMG8 Chassis Bundle, DC ","$8,205.91 "
132-12 ,GOLD-BIMG8-DC ,"TechNET Gold Support - BIMG8 Chassis Bundle, DC ","$18,655.06 "
132-12 ,BRONZE-B4000 ,"TechNet BRONZE Support, BigIron 4000 ","$1,239.80 "
132-12 ,BRONZE-B8000 ,"TechNet BRONZE Support, BigIron 8000 ","$1,239.80 "
132-12 ,BRONZE-B15000 ,"TechNet BRONZE Support, BigIron 15000 ","$1,737.37 "
132-12 ,SILVER-B4000 ,"TechNet SILVER Support, BigIron 4000 Systems ","$2,483.74 "
132-12 ,SILVER-B8000 ,"TechNet SILVER Support, BigIron 8000 Systems ","$4,971.64 "
132-12 ,SILVER-B15000 ,"TechNet SILVER Support, BigIron 15000 Systems ","$7,044.88 "
132-12 ,GOLD-B4000 ,"TechNet GOLD Support, BigIron 4000 Systems ","$4,146.49 "
132-12 ,GOLD-B8000 ,"TechNet GOLD Support, BigIron 8000 Systems ","$5,800.93 "
132-12 ,GOLD-B15000 ,"TechNet GOLD Support, BigIron 15000 Systems ","$11,610.18 "
132-12 ,BRONZE-NI400 ,"TechNet BRONZE Support, NetIron 400 Systems ","$1,865.92 "
132-12 ,BRONZE-NI800 ,"TechNet BRONZE Support, NetIron 800 Systems ","$1,865.92 "
132-12 ,BRONZE-NI1500 ,"TechNet BRONZE Support, NetIron 1500 Systems ","$2,798.88 "
132-12 ,SILVER-NI400 ,"TechNet SILVER Support, NetIron 400 Systems ","$3,727.69 "
132-12 ,SILVER-NI800 ,"TechNet SILVER Support, NetIron 800 Systems ","$7,459.53 "
132-12 ,SILVER-NI1500 ,"TechNet SILVER Support, NetIron 1500 Systems ","$9,947.43 "
132-12 ,GOLD-NI400 ,"TechNet GOLD Support, NetIron 400 Systems ","$6,219.73 "
132-12 ,GOLD-NI800 ,"TechNet GOLD Support, NetIron 800 Systems ","$12,435.32 "
132-12 ,GOLD-NI1500 ,"TechNet GOLD Support, NetIron 1500 Systems ","$16,581.82 "
132-12 ,BRONZE-SI400 ,"TechNet BRONZE Support, ServerIron 400 Systems ","$2,483.74 "
132-12 ,BRONZE-SI800 ,"TechNet BRONZE Support, ServerIron 800 Systems ","$2,483.74 "
132-12 ,SILVER-SI400 ,"TechNet SILVER Support, ServerIron 400 Systems ","$3,727.69 "
132-12 ,SILVER-SI800 ,"TechNet SILVER Support, ServerIron 800 Systems ","$7,459.53 "
132-12 ,GOLD-SI400 ,"TechNet GOLD Support, ServerIron 400 Systems ","$6,219.73 "
132-12 ,GOLD-SI800 ,"TechNet GOLD Support, ServerIron 800 Systems ","$12,439.47 "
,,Training ,
132-50 ,TRNG0103-USA ,"Training: Basic Configuration and Management, Switch/Router (3 days w/Labs) USA Training Course ","$1,326.88 "
132-50 ,TRNG0305-USA ,Training: Combined Switch/Router/ServerIron (TRNG0103 + TRNG0202; 5 days) USA Training Course ,"$2,073.24 "
132-50 ,TRNG0102-USA ,"Training: Basic Configuration and Management, Switch/Router (2 day w/Labs) USA Training Course ",$829.29 
132-50 ,TRNG0405 ,Training: Advanced Switch/Router Configuration and Management (4.5 days w/Labs) USA Training Course ,"$2,487.89 "
132-50 ,TRNG0503 ,Training: IronView Network Management (3 days w/Labs) USA Training Course ,"$1,492.73 "
132-50 ,TRNG0603 ,Training: IronShield Security - Hardening Foundry Network Devices (2 days w/labs) Training Course ,$995.16 
